id,username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,date
200,ehaeth,1,2023-11-24 20:32:14,2023-12-08 10:19:04,1,0,59,man,3,2,,,6.0,5.0,,5.0,,,,,1,2,-1,2
201,ghtvyg,1,2023-11-24 20:34:36,2024-01-07 11:08:10,1,0,51,man,3,3,,,22.0,30.0,,34.0,,,,9.0,2,3,2,14
203,koqlga,0,2023-11-24 20:55:17,2023-11-24 20:55:17,1,0,62,vrouw,4,3,,,2.0,9.0,,9.0,,,,,3,3,1,1
204,hmkrew,1,2023-11-24 20:58:13,2023-12-07 17:58:48,255,0,49,man,3,2,1.0,1.0,14.0,56.0,,57.0,-1.0,0.0,1.0,,1,1,-1,11
205,tdncxg,1,2023-11-24 20:59:19,2023-12-06 16:32:39,255,0,54,vrouw,3,3,-1.0,-1.0,16.0,108.0,,89.0,-3.0,1.0,1.0,3.0,2,2,-3,9
207,grovkn,0,2023-11-24 21:02:34,2023-11-27 12:22:36,1,0,61,vrouw,4,2,,,6.0,30.0,,28.0,,,,0.0,3,2,1,3
208,jhivej,1,2023-11-24 21:05:03,2023-12-26 21:38:34,255,0,56,vrouw,5,3,1.0,-2.0,20.0,50.0,,56.0,1.0,0.0,-3.0,,2,1,1,10
210,kwegue,0,2023-11-24 21:20:39,2023-12-04 01:33:11,255,0,45,vrouw,5,2,2.0,1.0,18.0,52.0,,15.0,1.0,1.0,0.0,,2,3,2,1
211,lqzxql,0,2023-11-24 21:22:16,2023-12-05 00:25:30,255,0,35,man,4,1,1.0,1.0,22.0,50.0,,19.0,1.0,1.0,2.0,,1,1,2,2
212,gajsky,1,2023-11-24 21:23:55,2023-12-06 02:46:31,255,0,34,man,3,1,2.0,1.0,20.0,52.0,,25.0,-1.0,0.0,1.0,1.0,3,2,3,6
216,ezjynv,1,2023-11-24 21:55:38,2023-12-08 19:31:26,255,0,55,man,2,3,-1.0,2.0,4.0,86.0,,60.0,-2.0,1.0,0.0,,3,3,3,8
217,qrlfue,1,2023-11-24 22:00:55,2023-11-24 22:05:29,1,0,43,man,4,3,,,2.0,16.0,,16.0,,,,0.0,2,2,0,2
220,pqitut,1,2023-11-24 22:16:22,2023-12-22 22:01:36,255,0,43,vrouw,2,2,1.0,1.0,22.0,58.0,,62.0,3.0,1.0,0.0,21.0,2,2,0,10
221,jnmxct,1,2023-11-24 22:19:11,2023-11-24 22:28:52,255,0,56,man,4,2,3.0,3.0,2.0,75.0,,76.0,2.0,0.0,0.0,0.0,2,1,0,13
223,nfmvrw,0,2023-11-24 22:39:25,2023-11-24 22:39:25,1,0,64,vrouw,2,3,,,2.0,16.0,,15.0,,,,,2,2,0,1
225,xrrjva,1,2023-11-24 23:31:09,2023-12-07 10:41:02,255,0,27,man,5,2,-2.0,-1.0,12.0,79.0,,78.0,0.0,1.0,-1.0,,0,0,0,8
226,pxruvw,0,2023-11-24 23:31:57,2023-12-08 07:32:02,255,0,42,man,4,2,2.0,1.0,16.0,54.0,,54.0,-2.0,0.0,2.0,10.0,2,3,2,7
227,tcijuw,0,2023-11-24 23:32:18,2023-12-07 05:24:57,255,0,39,man,4,2,1.0,2.0,30.0,40.0,,15.0,1.0,0.0,2.0,,0,0,3,1
228,anoefm,1,2023-11-24 23:33:38,2023-12-07 00:53:09,255,0,50,man,5,1,0.0,2.0,20.0,52.0,,15.0,0.0,0.0,1.0,,2,2,3,1
229,vqqkbd,1,2023-11-24 23:34:26,2023-12-08 18:34:44,255,0,39,man,4,3,0.0,1.0,24.0,46.0,,15.0,0.0,1.0,0.0,,3,2,3,1
230,kshhrj,0,2023-11-24 23:35:03,2023-12-07 04:44:12,255,0,44,man,4,2,2.0,1.0,26.0,45.0,,16.0,0.0,0.0,1.0,,2,1,2,2
232,nyfhtw,1,2023-11-24 23:36:28,2023-12-05 01:20:14,255,0,28,man,5,1,0.0,0.0,18.0,57.0,,15.0,-1.0,0.0,0.0,,1,1,2,1
233,dczsop,1,2023-11-24 23:37:07,2023-12-08 15:57:16,255,0,29,man,3,1,2.0,1.0,26.0,44.0,,15.0,0.0,1.0,2.0,,1,1,1,1
234,ligjdm,0,2023-11-24 23:37:56,2023-12-07 02:22:07,255,0,29,man,5,2,1.0,0.0,24.0,46.0,,15.0,-3.0,0.0,0.0,,1,2,1,1
235,atpstr,0,2023-11-24 23:38:30,2023-12-06 04:03:09,255,0,24,man,3,1,2.0,2.0,22.0,48.0,,15.0,1.0,0.0,1.0,,2,1,2,1
236,cmasoq,1,2023-11-24 23:39:16,2023-12-07 01:36:24,255,0,48,man,3,1,0.0,0.0,22.0,48.0,,15.0,2.0,0.0,1.0,,2,2,3,1
