username,group,first_login,last_visit,phase_completed,reminder_sent,age,gender,education,newsinterest,eval_diversity,eval_personalization,sum_logins,sum_ratings,sum_invites,sum_stories,eval_game,eval_nudge,eval_future,sum_shares,polinterest,polefficacy1,polefficacy2,id,user_id,0.0,1.0,ratio,y_for,y_fact
xudknj,0,2023-11-27 15:26:58,2023-12-04 08:11:04,255,0,41,man,5,2,2.0,1.0,14.0,57.0,,62.0,1.0,0.0,-2.0,8.0,1,2,1,271,271,61.0,1.0,0.0161290322580645,0.2012605065094791,0.1096622158431468
ggmszw,1,2023-11-27 15:28:11,2023-12-08 18:18:20,255,0,74,man,4,3,1.0,1.0,26.0,47.0,,50.0,-3.0,0.0,1.0,,3,3,1,272,272,42.0,7.0,0.1428571428571428,0.2035604847927433,0.1423188596960878
mzmncw,0,2023-11-27 15:29:26,2023-12-14 10:47:57,255,0,22,vrouw,4,2,-1.0,0.0,6.0,71.0,,31.0,-1.0,0.0,-3.0,,2,2,2,274,274,55.0,18.0,0.2465753424657534,0.2246697675019631,0.1969774668242184
jgglnh,1,2023-11-27 15:32:22,2023-12-03 08:08:03,255,0,61,man,2,2,3.0,2.0,14.0,57.0,,57.0,-1.0,1.0,-1.0,,3,3,3,277,277,50.0,7.0,0.1228070175438596,0.1924855645378148,0.1196288832816015
azubyo,0,2023-11-27 15:32:56,2023-12-04 13:44:00,255,0,38,vrouw,4,3,-1.0,2.0,14.0,95.0,,97.0,-2.0,1.0,-1.0,0.0,3,2,1,279,279,99.0,1.0,0.01,0.1862233576284895,0.1787654486893355
suvumz,1,2023-11-27 15:49:08,2023-12-04 08:52:54,255,0,49,vrouw,3,-3,3.0,0.0,16.0,54.0,,53.0,0.0,1.0,1.0,,-3,0,0,285,285,46.0,8.0,0.1481481481481481,0.1178511301977579,0.2571297386132901
ouhain,0,2023-11-27 15:50:15,2023-11-28 11:28:31,1,0,69,man,4,2,,,4.0,79.0,,76.0,,,,,2,2,1,286,286,58.0,18.0,0.2368421052631578,0.2804086564228236,0.1383749574890301
blauzm,0,2023-11-27 15:58:53,2023-12-07 12:40:01,255,0,68,man,1,2,2.0,2.0,16.0,70.0,,69.0,-3.0,0.0,1.0,,2,2,0,291,291,71.0,0.0,0.0,0.2463335735002497,0.1925635107792687
blyjaa,0,2023-11-27 16:20:23,2023-12-07 11:37:23,255,0,60,vrouw,5,2,1.0,1.0,12.0,58.0,,62.0,2.0,1.0,0.0,,2,2,0,298,298,51.0,11.0,0.1774193548387097,0.2823296656805488,0.2033621191995015
yuauyg,0,2023-11-27 16:20:59,2023-12-06 06:07:49,255,0,25,man,4,3,2.0,2.0,10.0,66.0,,55.0,0.0,1.0,1.0,9.0,2,1,2,299,299,64.0,0.0,0.0,0.1861670553558017,0.1259840445186727
mqubxi,1,2023-11-27 16:24:49,2023-12-05 20:20:32,255,0,48,man,4,2,3.0,2.0,30.0,43.0,,44.0,1.0,1.0,1.0,8.0,2,2,1,300,300,34.0,9.0,0.2093023255813953,0.2269081509158925,0.1309359786034871
sciiqg,0,2023-11-27 16:31:38,2023-12-04 11:53:16,255,0,65,vrouw,2,2,1.0,0.0,20.0,57.0,,53.0,0.0,1.0,2.0,,0,1,0,303,303,59.0,2.0,0.0327868852459016,0.2384359976191364,0.1599806953072287
lelrad,0,2023-11-27 16:45:46,2023-12-04 18:26:35,255,0,27,man,5,2,2.0,1.0,28.0,56.0,,57.0,-1.0,1.0,-1.0,,1,2,2,306,306,56.0,2.0,0.0344827586206896,0.2565691136281838,0.1993455420531691
rirism,0,2023-11-27 17:18:27,2023-12-11 12:25:50,1,0,59,vrouw,4,2,,,4.0,70.0,,78.0,,,,0.0,0,2,-2,310,310,75.0,3.0,0.0384615384615384,0.2544653923810159,0.1493853339349578
hafydx,0,2023-11-27 17:19:58,2023-12-09 07:31:46,255,0,35,vrouw,5,2,-2.0,1.0,16.0,55.0,,56.0,-3.0,1.0,-3.0,,1,2,1,311,311,54.0,2.0,0.0357142857142857,0.242939600974319,0.2192707986883923
sskuvr,1,2023-11-27 17:44:18,2023-12-03 08:55:34,255,0,27,vrouw,3,0,-1.0,1.0,24.0,66.0,,69.0,-3.0,0.0,0.0,5.0,-1,1,-1,313,313,68.0,2.0,0.0285714285714285,0.2256688417715318,0.1708563378243807
xaipbm,0,2023-11-27 17:51:37,2023-12-10 11:18:06,255,0,79,man,4,3,3.0,1.0,8.0,90.0,,133.0,-1.0,1.0,1.0,168.0,3,2,1,315,315,207.0,14.0,0.0633484162895927,0.3077219384924823,0.2435115018122643
gsxhtz,1,2023-11-27 18:10:31,2023-12-08 18:25:53,1,0,60,man,4,2,,,14.0,47.0,,45.0,,,,,0,1,0,316,316,43.0,2.0,0.0444444444444444,0.2399012545512298,0.1634867485990606
dxglnh,0,2023-11-27 18:28:52,2023-12-04 08:51:55,1,0,42,man,3,0,,,14.0,17.0,,17.0,,,,,-1,0,-1,319,319,14.0,3.0,0.1764705882352941,0.2219475218591227,0.1070462793115687
ueoeel,1,2023-11-27 19:00:46,2023-12-21 14:24:24,255,0,31,man,5,2,1.0,0.0,8.0,70.0,,36.0,-1.0,1.0,-2.0,,3,3,2,320,320,31.0,39.0,0.5571428571428572,0.3214887989475469,0.2550651753844302
prpahh,1,2023-11-27 19:19:43,2023-12-13 11:08:46,255,0,65,man,2,3,-1.0,2.0,28.0,46.0,,49.0,-1.0,1.0,-1.0,1.0,3,3,2,321,321,38.0,10.0,0.2083333333333333,0.163880783719117,0.1588919757480719
spugxu,0,2023-11-27 19:29:49,2023-12-03 10:26:11,255,0,64,vrouw,5,3,3.0,0.0,16.0,56.0,,38.0,-1.0,1.0,1.0,1.0,3,3,0,322,322,55.0,2.0,0.0350877192982456,0.2731265399217924,0.2614880590036013
emxdxd,0,2023-11-27 20:50:59,2023-12-04 16:57:50,255,0,37,vrouw,4,3,1.0,1.0,12.0,64.0,,73.0,1.0,1.0,1.0,,3,2,3,323,323,60.0,11.0,0.1549295774647887,0.135667557377794,0.1006484279067865
oivdic,1,2023-11-27 21:51:21,2023-12-28 21:23:10,1,0,67,man,2,3,,,18.0,51.0,,51.0,,,,,3,3,2,325,325,48.0,3.0,0.0588235294117647,0.071332856780949,0.0687227036105287
jbfycq,0,2023-11-28 03:32:26,2023-12-19 02:37:13,255,0,46,vrouw,3,1,3.0,0.0,8.0,62.0,,64.0,0.0,0.0,-2.0,,-3,1,-3,327,327,58.0,6.0,0.09375,0.1982784220991588,0.1039637141241313
wmtild,1,2023-11-28 07:13:14,2024-01-10 18:03:21,255,0,61,vrouw,2,2,1.0,1.0,14.0,59.0,,63.0,-3.0,1.0,1.0,,2,2,0,328,328,55.0,8.0,0.1269841269841269,0.2445893478965367,0.1624949983838807
ovnapw,0,2023-11-28 09:41:39,2023-12-04 10:58:08,255,0,66,man,5,3,3.0,1.0,10.0,65.0,,64.0,1.0,0.0,1.0,,2,2,1,330,330,57.0,7.0,0.109375,0.2299802556684008,0.1205111455427874
naoruw,0,2023-11-28 10:02:13,2023-12-05 19:00:09,255,0,29,man,3,1,3.0,-1.0,14.0,96.0,,68.0,1.0,1.0,-1.0,58.0,1,2,-1,331,331,92.0,1.0,0.010752688172043,0.3206790766265046,0.2639372386998994
anltjr,1,2023-11-28 11:10:19,2023-12-12 10:48:36,255,0,61,man,4,3,-2.0,-2.0,14.0,70.0,,70.0,-3.0,1.0,-3.0,,3,3,3,332,332,62.0,8.0,0.1142857142857142,0.2138578749404316,0.1554967386430315
nydygn,0,2023-11-28 15:00:35,2023-12-10 20:50:15,255,0,23,man,3,2,3.0,0.0,16.0,54.0,,61.0,-2.0,1.0,-1.0,3.0,1,1,1,334,334,50.0,10.0,0.1666666666666666,0.2625839604046133,0.1748521450349903
yfefqm,1,2023-11-28 15:02:25,2023-11-28 17:23:49,255,0,45,man,2,3,1.0,1.0,4.0,66.0,,62.0,-2.0,0.0,-2.0,,1,2,-2,337,337,45.0,16.0,0.2622950819672131,0.1993143370767035,0.1807477113231712
plmbuv,0,2023-11-28 15:04:22,2023-12-04 07:34:24,255,0,42,vrouw,3,3,3.0,1.0,20.0,59.0,,58.0,-3.0,1.0,2.0,0.0,2,1,-3,338,338,50.0,11.0,0.180327868852459,0.2145210597300258,0.1814449527794198
vojbgb,0,2023-11-28 15:06:52,2023-12-19 20:28:09,255,0,55,man,3,3,3.0,0.0,8.0,65.0,,50.0,0.0,1.0,-3.0,,1,1,0,339,339,63.0,4.0,0.0597014925373134,0.2469818458183632,0.1796297216275614
qxqoug,1,2023-11-28 15:09:41,2023-12-06 18:52:44,255,0,37,vrouw,4,3,3.0,2.0,12.0,58.0,,58.0,-2.0,1.0,3.0,0.0,1,1,1,340,340,43.0,12.0,0.2181818181818181,0.2701043863258604,0.1913788583019782
rturbh,1,2023-11-28 15:16:40,2023-12-08 13:56:01,255,0,27,man,3,2,1.0,-2.0,28.0,85.0,,86.0,-2.0,0.0,-3.0,10.0,1,2,-2,345,345,67.0,25.0,0.2717391304347826,0.2544489527261233,0.1623277095494352
blbxjd,1,2023-11-28 15:33:49,2023-12-19 08:13:26,255,0,48,man,3,2,-3.0,-3.0,4.0,66.0,,67.0,3.0,0.0,-3.0,0.0,2,2,0,349,349,43.0,24.0,0.3582089552238806,0.2702449698839336,0.2151286503106488
hzywmw,0,2023-11-28 16:42:38,2023-11-28 16:42:38,255,0,68,vrouw,3,3,3.0,3.0,2.0,70.0,,59.0,2.0,1.0,1.0,,3,3,1,354,354,70.0,2.0,0.0277777777777777,0.2851408535264767,0.1585543693840279
